"単語","品詞","品詞細分類1","品詞細分類2","品詞細分類3","活用型","活用形","基本形","読み","発音","長さ","行番号","行内順序","評価"
"やら",""動詞","自立","*","*","五段・ラ行","未然形","やる","ヤラ","ヤラ"","2","3","7","99.0"
"れ",""動詞","接尾","*","*","一段","連用形","れる","レ","レ"","1","3","8","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","3","9","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","3","10","99.0"
"寝る",""動詞","自立","*","*","一段","基本形","寝る","ネル","ネル"","2","3","11","99.0"
"ぜ",""助詞","終助詞","*","*","*","*","ぜ","ゼ","ゼ"","1","3","12","99.0"
"よ",""助詞","終助詞","*","*","*","*","よ","ヨ","ヨ"","1","3","13","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","3","14","99.0"
"数",""名詞","数","*","*","*","*","数","スウ","スー"","1","4","1","99.0"
"日",""名詞","接尾","助数詞","*","*","*","日","ニチ","ニチ"","1","4","2","99.0"
"前",""名詞","副詞可能","*","*","*","*","前","マエ","マエ"","1","4","3","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","4","4","99.0"
"冷蔵庫",""名詞","一般","*","*","*","*","冷蔵庫","レイゾウコ","レイゾーコ"","3","4","5","99.0"
"から",""助詞","格助詞","一般","*","*","*","から","カラ","カラ"","2","4","6","99.0"
"消え",""動詞","自立","*","*","一段","連用形","消える","キエ","キエ"","2","4","7","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","4","8","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","4","9","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","4","10","99.0"
"たそ",""動詞","自立","*","*","五段・サ行","未然ウ接続","たす","タソ","タソ"","2","4","11","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","4","12","99.0"
"お中元",""名詞","一般","*","*","*","*","お中元","オチュウゲン","オチューゲン"","3","4","13","99.0"
"と",""助詞","格助詞","一般","*","*","*","と","ト","ト"","1","4","14","99.0"
"なっ",""動詞","自立","*","*","五段・ラ行","連用タ接続","なる","ナッ","ナッ"","2","4","15","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","4","16","99.0"
"帰っ",""動詞","自立","*","*","五段・ラ行","連用タ接続","帰る","カエッ","カエッ"","2","4","17","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","4","18","99.0"
"き",""動詞","非自立","*","*","カ変・クル","連用形","くる","キ","キ"","1","4","19","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","4","20","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","4","21","99.0"
"最高",""名詞","一般","*","*","*","*","最高","サイコウ","サイコー"","2","4","22","99.0"
"や",""助詞","並立助詞","*","*","*","*","や","ヤ","ヤ"","1","4","23","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","4","24","99.0"
"グビグビ","名詞","未知語","*","*","*","*","グビグビ","*","*","4","4","25","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","4","26","99.0"
"久々",""名詞","一般","*","*","*","*","久々","ヒサビサ","ヒサビサ"","2","5","1","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","5","2","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","5","3","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","5","4","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","5","5","99.0"
"やっぱり",""副詞","一般","*","*","*","*","やっぱり","ヤッパリ","ヤッパリ"","4","5","6","99.0"
"ビール",""名詞","一般","*","*","*","*","ビール","ビール","ビール"","3","5","7","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","5","8","99.0"
"方",""名詞","非自立","一般","*","*","*","方","ホウ","ホー"","1","5","9","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","5","10","99.0"
"うまい",""形容詞","自立","*","*","形容詞・アウオ段","基本形","うまい","ウマイ","ウマイ"","3","5","11","99.0"
"なぁ",""助詞","終助詞","*","*","*","*","なぁ","ナァ","ナー"","2","5","12","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","5","13","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","5","14","99.0"
"今日",""名詞","副詞可能","*","*","*","*","今日","キョウ","キョー"","2","5","15","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","5","16","99.0"
"夕飯",""名詞","一般","*","*","*","*","夕飯","ユウハン","ユーハン"","2","5","17","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","5","18","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","5","19","99.0"
"たら",""名詞","一般","*","*","*","*","たら","タラ","タラ"","2","5","20","99.0"
"こ",""名詞","一般","*","*","*","*","こ","コ","コ"","1","5","21","99.0"
"パスタ",""名詞","一般","*","*","*","*","パスタ","パスタ","パスタ"","3","5","22","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","5","23","99.0"
"鮭",""名詞","一般","*","*","*","*","鮭","サケ","サケ"","1","5","24","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","5","25","99.0"
"ムニエル",""名詞","一般","*","*","*","*","ムニエル","ムニエル","ムニエル"","4","5","26","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","5","27","99.0"
"真鯛",""名詞","一般","*","*","*","*","真鯛","マダイ","マダイ"","2","5","28","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","5","29","99.0"
"カルパッチョ","名詞","未知語","*","*","*","*","カルパッチョ","*","*","6","5","30","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","5","31","99.0"
"スルメイカ",""名詞","一般","*","*","*","*","スルメイカ","スルメイカ","スルメイカ"","5","5","32","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","5","33","99.0"
"刺身",""名詞","一般","*","*","*","*","刺身","サシミ","サシミ"","2","5","34","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","5","35","99.0"
"パトス",""名詞","一般","*","*","*","*","パトス","パトス","パトス"","3","5","36","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","5","37","99.0"
"アルコール",""名詞","一般","*","*","*","*","アルコール","アルコール","アルコール"","5","5","38","99.0"
"飲み",""動詞","自立","*","*","五段・マ行","連用形","飲む","ノミ","ノミ"","2","5","39","99.0"
"たかっ",""助動詞","*","*","*","特殊・タイ","連用タ接続","たい","タカッ","タカッ"","3","5","40","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","5","41","99.0"
"けど",""助詞","接続助詞","*","*","*","*","けど","ケド","ケド"","2","5","42","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","5","43","99.0"
"走る",""動詞","自立","*","*","五段・ラ行","基本形","走る","ハシル","ハシル"","2","5","44","99.0"
"ので",""助詞","接続助詞","*","*","*","*","ので","ノデ","ノデ"","2","5","45","99.0"
"我慢",""名詞","サ変接続","*","*","*","*","我慢","ガマン","ガマン"","2","5","46","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","5","47","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","5","48","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","5","49","99.0"
"明日",""名詞","副詞可能","*","*","*","*","明日","アシタ","アシタ"","2","5","50","99.0"
"から",""助詞","格助詞","一般","*","*","*","から","カラ","カラ"","2","5","51","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","5","52","99.0"
"また",""副詞","助詞類接続","*","*","*","*","また","マタ","マタ"","2","5","53","99.0"
"仕事",""名詞","サ変接続","*","*","*","*","仕事","シゴト","シゴト"","2","5","54","99.0"
"忙しい",""形容詞","自立","*","*","形容詞・イ段","基本形","忙しい","イソガシイ","イソガシイ"","3","5","55","99.0"
"けど",""助詞","接続助詞","*","*","*","*","けど","ケド","ケド"","2","5","56","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","5","57","99.0"
"１","名詞","未知語","*","*","*","*","１","*","*","1","5","58","99.0"
"日",""名詞","接尾","一般","*","*","*","日","ビ","ビ"","1","5","59","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","5","60","99.0"
"走ろ",""動詞","自立","*","*","五段・ラ行","未然ウ接続","走る","ハシロ","ハシロ"","2","5","61","99.0"
"う",""助動詞","*","*","*","不変化型","基本形","う","ウ","ウ"","1","5","62","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","5","63","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","6","1","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","6","2","99.0"
"と",""助詞","並立助詞","*","*","*","*","と","ト","ト"","1","6","3","99.0"
"淡麗",""名詞","固有名詞","一般","*","*","*","淡麗","タンレイ","タンレイ"","2","6","4","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","6","5","99.0"
"だいぶ",""副詞","一般","*","*","*","*","だいぶ","ダイブ","ダイブ"","3","6","6","99.0"
"味",""名詞","一般","*","*","*","*","味","アジ","アジ"","1","6","7","99.0"
"違う",""動詞","自立","*","*","五段・ワ行促音便","基本形","違う","チガウ","チガウ"","2","6","8","99.0"
"なあ",""助詞","終助詞","*","*","*","*","なあ","ナア","ナー"","2","6","9","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","6","10","99.0"
"カップ",""名詞","一般","*","*","*","*","カップ","カップ","カップ"","3","7","1","99.0"
"焼きそば",""名詞","一般","*","*","*","*","焼きそば","ヤキソバ","ヤキソバ"","4","7","2","99.0"
"界",""名詞","接尾","一般","*","*","*","界","カイ","カイ"","1","7","3","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","7","4","99.0"
"キング",""名詞","固有名詞","人名","姓","*","*","キング","キング","キング"","3","7","5","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","7","6","99.0"
"俺",""名詞","代名詞","一般","*","*","*","俺","オレ","オレ"","1","7","7","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","7","8","99.0"
"塩",""名詞","一般","*","*","*","*","塩","シオ","シオ"","1","7","9","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","7","10","99.0"
"食らう",""動詞","自立","*","*","五段・ワ行促音便","基本形","食らう","クラウ","クラウ"","3","7","11","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","7","12","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","7","13","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","7","14","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","7","15","99.0"
"とともに",""助詞","格助詞","連語","*","*","*","とともに","トトモニ","トトモニ"","4","7","16","99.0"
"・",""名詞","数","*","*","*","*","・","・","・"","1","7","17","99.0"
"・",""記号","一般","*","*","*","*","・","・","・"","1","7","18","99.0"
"・",""記号","一般","*","*","*","*","・","・","・"","1","7","19","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","7","20","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","7","21","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","7","22","99.0"
"お",""接頭詞","名詞接続","*","*","*","*","お","オ","オ"","1","7","23","99.0"
"ばば",""名詞","一般","*","*","*","*","ばば","ババ","ババ"","2","7","24","99.0"
"様",""名詞","一般","*","*","*","*","様","サマ","サマ"","1","7","25","99.0"
"どこ",""名詞","代名詞","一般","*","*","*","どこ","ドコ","ドコ"","2","7","26","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","7","27","99.0"
"買っ",""動詞","自立","*","*","五段・ワ行促音便","連用タ接続","買う","カッ","カッ"","2","7","28","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","7","29","99.0"
"き",""動詞","非自立","*","*","カ変・クル","連用形","くる","キ","キ"","1","7","30","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","7","31","99.0"
"ん",""名詞","非自立","一般","*","*","*","ん","ン","ン"","1","7","32","99.0"
"だろ",""助動詞","*","*","*","特殊・ダ","未然形","だ","ダロ","ダロ"","2","7","33","99.0"
"う",""助動詞","*","*","*","不変化型","基本形","う","ウ","ウ"","1","7","34","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","7","35","99.0"
"帰る",""動詞","自立","*","*","五段・ラ行","基本形","帰る","カエル","カエル"","2","7","36","99.0"
"まで",""助詞","副助詞","*","*","*","*","まで","マデ","マデ"","2","7","37","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","7","38","99.0"
"買い占め",""動詞","自立","*","*","一段","連用形","買い占める","カイシメ","カイシメ"","4","7","39","99.0"
"たい",""助動詞","*","*","*","特殊・タイ","基本形","たい","タイ","タイ"","2","7","40","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","7","41","99.0"
"＠Ｂ＿Ｂｅａｒ３３","名詞","未知語","*","*","*","*","＠Ｂ＿Ｂｅａｒ３３","*","*","9","8","1","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","8","2","99.0"
"おいちゃん",""名詞","一般","*","*","*","*","おいちゃん","オイチャン","オイチャン"","5","8","3","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","8","4","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","8","5","99.0"
"飲ん",""動詞","自立","*","*","五段・マ行","連用タ接続","飲む","ノン","ノン"","2","8","6","99.0"
"で",""動詞","非自立","*","*","一段","連用形","でる","デ","デ"","1","8","7","99.0"
"ます",""助動詞","*","*","*","特殊・マス","基本形","ます","マス","マス"","2","8","8","99.0"
"し",""助詞","接続助詞","*","*","*","*","し","シ","シ"","1","8","9","99.0"
"ね",""助詞","終助詞","*","*","*","*","ね","ネ","ネ"","1","8","10","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","8","11","99.0"
"照",""名詞","固有名詞","人名","名","*","*","照","テル","テル"","1","8","12","99.0"
"笑",""名詞","固有名詞","人名","名","*","*","笑","エミ","エミ"","1","8","13","99.0"
"さげ",""動詞","自立","*","*","一段","連用形","さげる","サゲ","サゲ"","2","9","1","99.0"
"ぽ",""形容詞","接尾","*","*","形容詞・アウオ段","ガル接続","ぽい","ポ","ポ"","1","9","2","99.0"
"よ",""名詞","非自立","助動詞語幹","*","*","*","よ","ヨ","ヨ"","1","9","3","99.0"
"な",""助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ"","1","9","4","99.0"
"ので",""助詞","接続助詞","*","*","*","*","ので","ノデ","ノデ"","2","9","5","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","9","6","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","9","7","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","9","8","99.0"
"ＣＭ","名詞","未知語","*","*","*","*","ＣＭ","*","*","2","9","9","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","9","10","99.0"
"に",""動詞","自立","*","*","一段","連用形","にる","ニ","ニ"","1","9","11","99.0"
"の",""名詞","非自立","一般","*","*","*","の","ノ","ノ"","1","9","12","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","9","13","99.0"
"合流",""名詞","サ変接続","*","*","*","*","合流","ゴウリュウ","ゴーリュー"","2","9","14","99.0"
"し",""動詞","自立","*","*","サ変・スル","連用形","する","シ","シ"","1","9","15","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","9","16","99.0"
"だけ",""助詞","副助詞","*","*","*","*","だけ","ダケ","ダケ"","2","9","17","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","9","18","99.0"
"泣ける",""動詞","自立","*","*","一段","基本形","泣ける","ナケル","ナケル"","3","9","19","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","9","20","99.0"
"寝",""動詞","自立","*","*","一段","連用形","寝る","ネ","ネ"","1","9","21","99.0"
"たら",""助動詞","*","*","*","特殊・タ","仮定形","た","タラ","タラ"","2","9","22","99.0"
"治る",""動詞","自立","*","*","五段・ラ行","基本形","治る","ナオル","ナオル"","2","9","23","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","9","24","99.0"
"寝る",""動詞","自立","*","*","一段","基本形","寝る","ネル","ネル"","2","9","25","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","9","26","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","10","1","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","10","2","99.0"
"なう",""動詞","自立","*","*","五段・ワ行促音便","基本形","なう","ナウ","ナウ"","2","10","3","99.0"
"なんだかんだ",""副詞","一般","*","*","*","*","なんだかんだ","ナンダカンダ","ナンダカンダ"","6","11","1","99.0"
"あんま",""名詞","サ変接続","*","*","*","*","あんま","アンマ","アンマ"","3","11","2","99.0"
"飲ん",""動詞","自立","*","*","五段・マ行","連用タ接続","飲む","ノン","ノン"","2","11","3","99.0"
"だ",""助動詞","*","*","*","特殊・タ","基本形","だ","ダ","ダ"","1","11","4","99.0"
"こと",""名詞","非自立","一般","*","*","*","こと","コト","コト"","2","11","5","99.0"
"なく",""形容詞","自立","*","*","形容詞・アウオ段","連用テ接続","ない","ナク","ナク"","2","11","6","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","11","7","99.0"
"さ",""助詞","終助詞","*","*","*","*","さ","サ","サ"","1","11","8","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","11","9","99.0"
"発泡",""名詞","サ変接続","*","*","*","*","発泡","ハッポウ","ハッポー"","2","11","10","99.0"
"酒",""名詞","接尾","一般","*","*","*","酒","シュ","シュ"","1","11","11","99.0"
"て",""助詞","格助詞","連語","*","*","*","て","テ","テ"","1","11","12","99.0"
"こんなに",""副詞","助詞類接続","*","*","*","*","こんなに","コンナニ","コンナニ"","4","11","13","99.0"
"美味しく",""形容詞","自立","*","*","形容詞・イ段","連用テ接続","美味しい","オイシク","オイシク"","4","11","14","99.0"
"無い",""形容詞","自立","*","*","形容詞・アウオ段","基本形","無い","ナイ","ナイ"","2","11","15","99.0"
"の",""助詞","終助詞","*","*","*","*","の","ノ","ノ"","1","11","16","99.0"
"ね",""助詞","終助詞","*","*","*","*","ね","ネ","ネ"","1","11","17","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","11","18","99.0"
"クリーミーホワイト","名詞","未知語","*","*","*","*","クリーミーホワイト","*","*","9","11","19","99.0"
"か",""助詞","副助詞／並立助詞／終助詞","*","*","*","*","か","カ","カ"","1","11","20","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","11","21","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","11","22","99.0"
"しか",""助詞","係助詞","*","*","*","*","しか","シカ","シカ"","2","11","23","99.0"
"好き",""名詞","形容動詞語幹","*","*","*","*","好き","スキ","スキ"","2","11","24","99.0"
"じゃ",""接続詞","*","*","*","*","*","じゃ","ジャ","ジャ"","2","11","25","99.0"
"無い",""形容詞","自立","*","*","形容詞・アウオ段","基本形","無い","ナイ","ナイ"","2","11","26","99.0"
"な",""助詞","終助詞","*","*","*","*","な","ナ","ナ"","1","11","27","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","11","28","99.0"
"梅酒",""名詞","一般","*","*","*","*","梅酒","ウメシュ","ウメシュ"","2","12","1","99.0"
"ストレート",""名詞","一般","*","*","*","*","ストレート","ストレート","ストレート"","5","12","2","99.0"
"三",""名詞","数","*","*","*","*","三","サン","サン"","1","12","3","99.0"
"杯",""名詞","接尾","助数詞","*","*","*","杯","ハイ","ハイ"","1","12","4","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","12","5","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","12","6","99.0"
"３５０ｍｌ","名詞","未知語","*","*","*","*","３５０ｍｌ","*","*","5","12","7","99.0"
"飲ん",""動詞","自立","*","*","五段・マ行","連用タ接続","飲む","ノン","ノン"","2","12","8","99.0"
"だ",""助動詞","*","*","*","特殊・タ","基本形","だ","ダ","ダ"","1","12","9","99.0"
"けど",""接続詞","*","*","*","*","*","けど","ケド","ケド"","2","12","10","99.0"
"一",""名詞","数","*","*","*","*","一","イチ","イチ"","1","12","11","99.0"
"時間",""名詞","接尾","助数詞","*","*","*","時間","ジカン","ジカン"","2","12","12","99.0"
"半",""名詞","副詞可能","*","*","*","*","半","ハン","ハン"","1","12","13","99.0"
"踊っ",""動詞","自立","*","*","五段・ラ行","連用タ接続","踊る","オドッ","オドッ"","2","12","14","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","12","15","99.0"
"から",""助詞","接続助詞","*","*","*","*","から","カラ","カラ"","2","12","16","99.0"
"消費",""名詞","サ変接続","*","*","*","*","消費","ショウヒ","ショーヒ"","2","12","17","99.0"
"した",""名詞","一般","*","*","*","*","した","シタ","シタ"","2","12","18","99.0"
"や",""助詞","並立助詞","*","*","*","*","や","ヤ","ヤ"","1","12","19","99.0"
"ろ",""名詞","一般","*","*","*","*","ろ","ロ","ロ"","1","12","20","99.0"
"＠ｔｅｒｕ＿ＴＬ７","名詞","未知語","*","*","*","*","＠ｔｅｒｕ＿ＴＬ７","*","*","9","13","1","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","13","2","99.0"
"発泡",""名詞","サ変接続","*","*","*","*","発泡","ハッポウ","ハッポー"","2","13","3","99.0"
"酒",""名詞","接尾","一般","*","*","*","酒","シュ","シュ"","1","13","4","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","13","5","99.0"
"中",""名詞","非自立","副詞可能","*","*","*","中","ナカ","ナカ"","1","13","6","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","13","7","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","13","8","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","13","9","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","13","10","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","13","11","99.0"
"行ける",""動詞","自立","*","*","一段","基本形","行ける","イケル","イケル"","3","13","12","99.0"
"って",""助詞","格助詞","連語","*","*","*","って","ッテ","ッテ"","2","13","13","99.0"
"話",""名詞","サ変接続","*","*","*","*","話","ハナシ","ハナシ"","1","13","14","99.0"
"聞き",""動詞","自立","*","*","五段・カ行イ音便","連用形","聞く","キキ","キキ"","2","13","15","99.0"
"まし",""助動詞","*","*","*","特殊・マス","連用形","ます","マシ","マシ"","2","13","16","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","13","17","99.0"
"けど",""接続詞","*","*","*","*","*","けど","ケド","ケド"","2","13","18","99.0"
"どう",""副詞","助詞類接続","*","*","*","*","どう","ドウ","ドー"","2","13","19","99.0"
"でしょ",""助動詞","*","*","*","特殊・デス","未然形","です","デショ","デショ"","3","13","20","99.0"
"う",""助動詞","*","*","*","不変化型","基本形","う","ウ","ウ"","1","13","21","99.0"
