No.,ツイート
49,グリーンラベル飲み干し今日は寝る。
50,＠ｎｏｉ＿０９０１　黒霧島とグリーンラベル大好きで健康に気遣う、とかも追加出来るな！さすがプロの幼女！
51,＠ｎｏｉ＿０９０１　黒霧島とグリーンラベルが大好きな健康志向の自称身長１８９ｃｍ純粋健全イケメンぴゅあホモぱんつ大好きつるぺた幼女（４才）　これでいい？ｗ
52,「黒霧島とグリーンラベルが大好きな健康志向の自称身長１８９ｃｍ純粋健全イケメンぴゅあホモぱんつ大好きつるぺた幼女（４才）」をプロフィールにしようとしてロリコンを入れ忘れてたことに気付いた。
53,黒霧島とグリーンラベルが大好きな健康志向の自称身長１８９ｃｍ純粋健全イケメンぴゅあホモぱんつ大好きつるぺたロリコン幼女（４才）に変更してきた。
54,糖質オフだとかカロリーオフだとか外道だと思ってたけどグリーンラベル気になる・・・
55,やっぱ、発泡酒なら淡麗かな。しかもこの時間はグリーンラベル。
56,またグリーンラベル沢山飲まなきゃ！パッケージ可愛い！
57,ギターを新しく手に入れました！ＦＧ－３４０（＇７２グリーンラベル・フォークサイズ）！これはよう鳴ります。ガラーンと！これからメンテしよう。サドルとブリッジピンはＦＧ－１３０と同じくオイル漬けの牛骨にしよう。
58,＠ｃｈｏｊａ５５　冷えたジョッキでビール飲みたいなぁ…。妄想焼肉で淡麗グリーンラベルなう　です。
59,＠ｙｎａａｋａａｊｉｍａａ　ＦＧなんかははずれも多いしちょっと賭けやったけど何とかなりそう。ドレッドのグリーンラベルならぼちぼち安いで。ちょいとさわればよう鳴るし。しかしフォークサイズは少ないなぁ。
60,イトーヨーカドーのお酒コーナーに淡麗グリーンが置いていなくて衝撃を受ける。
61,キリン濃い味。ノンアルコールビールの味しかしない。残念すぎるので、お口直しにグリーンラベルに変更。
62,＠ｋｏｂｉｔｏｐａｐａｙａ　グリーンラベルは間違いない。
63,グリーンラベル飲むのなんていつぶりだろう！
64,グリーンラベルはあまり好きじゃないな
65,＠９６ｕｓａｋｉ　＠ｋｏｂｉｔｏｐａｐａｙａ　私もグリーンラベルになんぼつぎ込んでいることか（＾＿－）
66,＠ｈａｒａｃｅｌｅｂ　私は淡麗グリーンラベル！（ホントは一番搾りがいいけど…。）
67,おいしかった（＾＿＾）　ＲＴ　“＠ｏｄｂｑｐ：　＠ｃｈｏｊａ５５　冷えたジョッキでビール飲みたいなぁ…。妄想焼肉で淡麗グリーンラベルなう　です。
68,グリーンラベル冷えてなかったよお
69,グリーンラベルもう飽きた
70,＠ｋａｗａｍｕｎｙａ　にゅー。愛飲はもっぱらグリーンラベルですが、カロリー過剰消費の山頂なら何でもこいだ！！・・・えーと、しるくえびすは何りったー　担げばよいですか？
71,＠０４２９ｙｕｋｉ　わかる～！私もグリーンラベルと糖質０ばっかり飲んでて、最近は金麦だから、エビス濃かったー！酔う！つれづれのこと、後であっちに書くね！
72,鶏肉やソーセージ、キャベツや豆腐などでトマト鍋に初挑戦したが、スープがちと甘めだった。見た目同じだけど　キムチ鍋のが辛党の我が家ではウケるなぁ。麒麟淡麗グリーンラベルなう。　＃ｗｍ４０　＃ｓａｋｅｎｏｍｉｋａｃｈａｎ
73,グリーンラベル＋＋；　何でだか忘れたけど発泡酒買うときはいつもグリーンラベルだ．
74,＠ｍｕｉｍｉ４５　ＴびＳ見てるダロ？　わたし一度行ったけどテンパリすぎてグリーンラベル箱買いして帰ってきました‥。
75,因みに、ビリは【キリン淡麗グリーンラベル】
76,あーやっぱグリーンラベルうまいわ　ていうか今ね缶にグリーンハートついてんだよ。可愛くね
77,＠ｇｔａｋａｇｉ５５　今日は約２時間運動したあと、淡麗グリーンラベル３５０ｍｌを飲みましたー。あたしが３５０ｍｌ缶を買うことが珍しい（笑）
78,＠ｈａｒａｃｅｌｅｂ　慣れれば何とかなる！←本物高くて買えないのでグリーンラベルで我慢してる人ｗ
79,＠ｅｒｉｋａ１１５６　俺は第三ビールで全然イケます。金麦とか。でも、グリーンラベルは（ｒｙ　どんまい！
80,＠Ｂ４ＴｉＥ　　最近はグリーンラベルに　してるです。（ーー；）
81,＠ｓｏｈｎｕｇａｒ　グリーンラベル呑んだことない？おいしい？麦のコクがあるの好き。
82,＠ｓｔａｎｒｏｃｋ８８　おつありです～。そう思ったけど予想外にしんどいで部屋で大人しく…　弁当と一緒に買ってきた淡麗グリーンラベル５００は飲むけどね…ｗ
83,グリーンラベルうまい。
84,「グリーンラベルもひとつ飲むわ」って言ったら嫁「クソが！」やて。　＃ｍｏｏｎｗａｔｃｈｅｒｓ
85,からのグリーンラベル
86,しかもグリーンラベルの５００の６本セットまで無い。これはもう完全に罠。政治的圧力か？
87,今日も眠れないかも・・と恐くなって、グリーンラベルなう。やっとゆっくりできる～
88,おれはグリーンラベル
89,お金持ち。わしはずっと淡麗グリーンラベル。
90,＠Ｒｓｈｏｅｓ９２　さすが大統領。　俺は結局今日の業務ギリギリで終って報告したら何時やと思っとんじゃボケだと…面識もない東京の偉いさんに一撃。今日もグリーンラベルとフジテレビのアナウンサーは俺の見方や！（◎＿◎；）
91,麒麟淡麗グリーンラベル　ＲＴ　＠ｙｕ＿ｉｎｏ：　「グリーンラベルもひとつ飲むわ」って言ったら嫁「クソが！」やて。　＃ｍｏｏｎｗａｔｃｈｅｒｓ
92,５００ミリ１本、３５０ミリ２本購入＠淡麗グリーンラベル
93,＠ａｌｌｌｌｌｌ１　あれ？どこのだ？キリン？アサヒ？？ついでに淡麗グリーンラベルさんも出てくれたらいいのにー！
94,そしてグリーンラベル！
95,淡麗グリーンだよロング缶注入開始。そのうち寝てるでしょう。。
96,＠ｓｈｉｒｏｉｎｕ１４　グリーンラベルじゃなくてサントリーＲＥＬＡＸ糖質０％なう。にょうにょうびょうが怖いよ
97,＠ｈａｒｕ＿ｔａ＿１１　＠ｍｏｏ＿ｏｙ　グリーンラベルの服装のこと、前にハルちゃんつぶやいてたもんね＾＾　餃子餃子！！わたしも平日だと仕事終わってからになっちゃうけど、、、それでもがんばって向かいます？♪
98,折角手元にドリクラＺＥＲＯとグリーンラベルがあるというのに…２４時閉店だし駅前までダッシュで買ってくるかこれ…
99,ブロンプトンで初パンク。しかもめんどっちい後輪。工具は持っていても予備チューブがなく、家までの残り３．５ｋｍを押して帰った。チューブ交換ついでにタイヤもグリーンラベルに変えちゃおう。
100,きたくったー！とりあえず洗濯機オンしながら、淡麗グリーンとカレーヌードルで夕飯なう。残り少ない本日分のバッテリを洗濯に回すｗ
101,もし、２ちゃんのスレから来て見てる人がいたら…私は嵐のメンバー、翔くんにももちろん悪口を言ったつもりはありません。私があの文章を書いたのは、グリーンラベルのＣＭについて苦情の電話をした方や、最近行きすぎた行為をしてしまう嵐ファンがいることについての意見を述べただけです。…
102,＠ｍａｈｏｃｈｉｐｓ　うちは長いことグリーンラベルやったけど、今はついに金麦。
103,グリーンラベル？のＣＭちょー好き（＾ω＾）相葉ちゃんの「待った？」が好き！バーテンダー見よう（＾ω＾）
104,安売りしてた淡麗グリーンラベルがすっげぇ飲みやすい。淡麗無印は好きでよく飲んでたけどＧＬは初めて買った。ガチのビール好きには物足りないんだろうけど、アテがあるなら全然うまいっ…！溢れ出る満足感…っ！しかしリアルに週末は塩を舐める生活ペース。せめて朝はポテチふりかけごはんにするか。
105,ＴＥＮＧＡと黒霧島とグリーンラベルが大好きな健康志向の自称身長１８９ｃｍ純粋健全イケメンぴゅあホモぱんつ大好きつるぺたロリコン幼女（４才）完璧だな！！
106,人間ドックも終わり、今日は淡麗グリーンラベルで乾杯した訳だが。バリウムはアルコールと反応して固まるという情報を今知った件。
107,グリーンラベルのグラスでラム飲みながらウルトラトレジャーについてるＤＶＤでびーずライブ！ＺＥＰＰでびーずとか想像しただけで死にそ。
108,（´－｀）．ｏ０（あ、やっぱりグリーンラベルだったんだｗ）
109,グリーンラベルを飲みながら小枝チョコを食べる。うま～。テレビ番長でメチャウマそうな透明スープチャーシュー山盛りの豚骨ラーメンたべてるしぃ。お腹すいてきた。
110,１４０文字目指す　ＲＴ　＠ｒｙｕｔｉｏｎｔｉｏｎ：　ＴＥＮＧＡと黒霧島とグリーンラベルが大好きな健康志向の自称身長１８９ｃｍ純粋健全イケメンぴゅあホモぱんつ大好きつるぺたロリコン幼女（４才）完璧だな！！
111,ＲＴ　＠Ｓｅｅｔｈｅｒ＿ｊｐ：　人間ドックも終わり、今日は淡麗グリーンラベルで乾杯した訳だが。バリウムはアルコールと反応して固まるという情報を今知った件。
112,ＲＴ　＠ｊｕｕ＿＿ｎ：　グリーンラベルのＣＭに遂に二宮降☆臨！！！！！　そして彼は独りになった…（翔ちゃん）
113,＠ｑｕｚｙ　グリーンラベルなんてあるんですね！昔ブルーラベルをいただいたことがあります。
114,以前は正直「発泡酒なんてクソ喰らえ！」と思ってましたが、最近はよく飲んでます。主に麦とホップと麒麟淡麗グリーンラベルを。
115,るーたす見ながら領収書整理。あほのように品名・淡麗グリーンラベルのレシートが出てくる。必要ないレシートはその場で捨てとけばこんな苦労しなくていんだよなこの時期に…
116,途中で寄ったスーパーに、グリーンラベルの大野くんを発見して、５分くらい眺めてたら、すこぶる体調が良くなった。３時間、乗り越えてきますヾ（＾ｖ＾）
117,＠ＳＨＯｎｏｒｉｆｉｃ＿ｂｏｔ　グリーンラベルが家にあったなあと思い出したんだー
118,キリン「濃い味＜糖質０＞」、確かに今までの糖質０とは味が違う。端麗グリーンラベルをライトにした感じ？キリンフリーよりコクがある。アルコール分を残した事も勝因か？
119,ケーパー入りアンチョビ缶詰肴に淡麗グリーンラベル。塩っからい。
120,今日は仕事が順調だったんですね。（＾з＾）－☆ＲＴ　＠ＪＯＧａｎｄＪＯＧ　ケーパー入りアンチョビ缶詰肴に淡麗グリーンラベル。塩っからい。
121,グリーンラベル、今度はパーカープレゼントだって。また淡麗のみまくりだわ
122,＠ｓｎｏｗｙｕｋｉｏ　あのね、淡麗グリーンラベルですよんｗゆきおちゃんは飲むのー？
123,はー帰宅したー！今夜はお得意の鮭にしましょう？淡麗グリーンラベルも６缶パック買ったしー
124,仕事しつつですぅ。すんません。怪我しないようにするけん！許してちょ～。ＲＴ　＠ａｎｃｈｉｔｔｅｒ：　今日は仕事が順調だったんですね。（＾з＾）－☆ＲＴ　＠ＪＯＧａｎｄＪＯＧ　ケーパー入りアンチョビ缶詰肴に淡麗グリーンラベル。塩っからい。
125,今日の晩ごはんは抹茶チョコとさけるチーズと端麗グリーンラベル。
126,今日は午後から本社で研修のあと月島でもんじゃ食べた。会社の先輩たちとはまりまくってるエクストラゴールドっていうビールを浴びるほど飲んで気分いいから、帰りにグリーンラベルとハーゲンダッツのフォンダンショコラ買って帰ろ
127,＠ＯｈｎｏＳａｔｏｓｈｉ＿ｂｏｔ　今日もグリーンラベルにが美味いよ！
128,淡麗グリーンをおみやげに。
129,今日もせっせとグリーンラベルの懸賞葉書を書く作業。５００ｍｌの６缶ケース＼１０９８－で７口分買ってるから８０００円近く貢いでる計算になる。ＧＲＥＥＮパーカー欲しい・・・。
130,＠ｒｙｏｓｕｋｅ０１１９　Ｄｅａｔｈかね…グリーンラベルで我慢してます！
131,シルクヱビスのＣＭ、田中圭と井川遥なんてっ（（（（；゚Д゚）））））））！！好きと好きがでてる、箱買いするか！？安易・私！でも購買欲なんてそんなもん！！グリーンラベルからシルクヱビスにしたら太りますな（´Д｀　）！
132,風呂上がりに最近の定番、梅チューブとグリーンラベルなう
133,グリーンラベルが安くてカロリー低くてうまいのが人生の救い
134,最近、淡麗グリーンラベル（生）でも満足しつつある。。
135,今日は、贅沢して　淡麗　グリーンラベル（＾○＾）
136,＠ｇｏｎｔａ５１０　ほんでまだ寝てないのだね！私はグリーンラベル一本飲んだ。ごーさんも飲もう！
137,淡麗グリーンラベル☆終了したから赤ワインいこうかな（＃＾．＾＃）♪＠ＫｉｎｏｋｏＭｏｊｏ
138,あたりめをつまみに淡麗グリーンラベル飲んでる。３月になったら１度カレーを作ろうと思う。家でルーのカレー作るの好きなんだよ。
139,＠ｐｉｋｋｏｒｏｈｉｍｅ　そんなことより淡麗グリーンラベルの存在感よ＼（＾ｏ＾）／
140,晩酌は発泡酒（グリーンラベル）！！最近ビールじゃなくても気にならなくなったなぁ（＊´∇｀）
141,妻は寝てしまったので、たまには一人で飲んでみよう。淡麗グリーンラベルが好きです！
142,＠ＭＩＹＡＭＯＳＡ　グリーンラベルだけどな（・ω・）
143,キリン淡麗グリーンをおすすめします＜（＿　＿）＞　　ＲＴ　＠ｗｉｎｏｕｈｅ：　メタボ回避のためランニング後は金麦を飲まないよう心がけます。おやすみなさい。
144,＠ｉｍａｈａｙａｎａｍｉ　およよ！イマ夫人といえばグリーンラベルのイメージだったけどビール中毒のあなたがいうならまちがいなさそうね。おかあちゃん学級委員ファイト！
145,キリンの濃い味糖質０は美味しかったです。グリーンラベルの糖質０を飲んでましたけど切り替える～？
146,久々に飲んだらいい気分になった。僕は淡麗グリーンラベルと柿の種若しくはポテチがあれば楽しい気分になれます。寝て起きたら仕事だと思うと、寝るのがイヤです。
147,疲れたぁ→腹ぺこ→麒麟グリーンラベル（＾ｏ＾）
148,俺だったら＋グリーンラベルですｗ“＠０ａｎｄ４２：　ペヤング＋納豆＋海苔＝金麦２缶
149,ひゃっほう終電帰宅だーい！　荒れ模様が続いたので、真っ直ぐ帰宅しますか。明日に備え…むう。　おうちでグリーンラベルだ！
150,グリーンラベルしかないと思ったらラガー見つけた。地味にうれしい
